Logger-id	Vbatt	Date_time	TMP1	TMP2
TMP117_logger_1	3944	2025-12-02T15:25:00	25.11	25.79
TMP117_logger_1	3944	2025-12-02T15:30:00	25.02	25.68
TMP117_logger_1	3944	2025-12-02T15:35:00	24.87	25.50
TMP117_logger_1	3944	2025-12-02T15:40:00	24.74	25.34
Logger-id	Vbatt	Date_time	TMP1	TMP2	
TMP117_logger_1	3944	2025-12-02T15:50:00	24.45	24.91
TMP117_logger_1	3944	2025-12-02T15:55:00	24.34	24.82
TMP117_logger_1	3944	2025-12-02T16:00:00	24.23	24.70
TMP117_logger_1	3944	2025-12-02T16:05:00	24.40	24.91
TMP117_logger_1	3944	2025-12-02T16:10:00	24.89	25.49
TMP117_logger_1	3944	2025-12-02T16:15:00	25.45	26.19
TMP117_logger_1	3944	2025-12-02T16:20:00	25.89	26.70
TMP117_logger_1	3944	2025-12-02T16:25:00	26.16	26.97
TMP117_logger_1	3944	2025-12-02T16:30:00	26.18	27.00
TMP117_logger_1	3944	2025-12-02T16:35:00	26.14	26.95
TMP117_logger_1	3944	2025-12-02T16:40:00	26.27	27.07
TMP117_logger_1	3944	2025-12-02T16:45:00	26.43	27.27
TMP117_logger_1	3944	2025-12-02T16:50:00	26.55	27.37
Logger-id	Vbatt	Date_time	TMP1	TMP2	
TMP117_logger_1	3944	2025-12-02T16:55:00	26.59	27.54
TMP117_logger_1	3944	2025-12-02T17:00:00	26.63	27.54
TMP117_logger_1	3944	2025-12-02T17:05:00	26.47	27.35
TMP117_logger_1	3944	2025-12-02T17:10:00	26.36	27.18
TMP117_logger_1	3944	2025-12-02T17:15:00	26.14	26.95
TMP117_logger_1	3944	2025-12-02T17:20:00	25.96	26.73
TMP117_logger_1	3944	2025-12-02T17:25:00	25.84	26.54
TMP117_logger_1	3944	2025-12-02T17:30:00	25.63	26.35
TMP117_logger_1	3944	2025-12-02T17:35:00	25.47	26.16
TMP117_logger_1	3944	2025-12-02T17:40:00	25.36	26.04
TMP117_logger_1	3944	2025-12-02T17:45:00	25.24	25.91
TMP117_logger_1	3944	2025-12-02T17:50:00	25.19	25.83
TMP117_logger_1	3944	2025-12-02T17:55:00	25.06	25.67
TMP117_logger_1	3944	2025-12-02T18:00:00	24.95	25.55
TMP117_logger_1	3944	2025-12-02T18:05:00	24.98	25.60
TMP117_logger_1	3944	2025-12-02T18:10:00	25.41	26.18
TMP117_logger_1	3944	2025-12-02T18:15:00	24.81	25.74
TMP117_logger_1	3944	2025-12-02T18:20:00	25.21	26.27
TMP117_logger_1	3944	2025-12-02T18:25:00	26.70	27.80
TMP117_logger_1	3944	2025-12-02T18:30:00	29.75	31.52
TMP117_logger_1	3944	2025-12-02T18:35:00	30.43	31.95
TMP117_logger_1	3944	2025-12-02T18:40:00	30.35	31.80
TMP117_logger_1	3944	2025-12-02T18:45:00	29.91	31.41
TMP117_logger_1	3944	2025-12-02T18:50:00	29.64	31.13
TMP117_logger_1	3944	2025-12-02T18:55:00	29.99	31.66
TMP117_logger_1	3944	2025-12-02T19:00:00	30.27	31.92
TMP117_logger_1	3944	2025-12-02T19:05:00	30.16	31.80
TMP117_logger_1	3944	2025-12-02T19:10:00	29.87	31.38
TMP117_logger_1	3944	2025-12-02T19:15:00	29.58	31.05
TMP117_logger_1	3944	2025-12-02T19:20:00	29.05	30.54
TMP117_logger_1	3944	2025-12-02T19:25:00	28.86	30.20
TMP117_logger_1	3944	2025-12-02T19:30:00	28.52	29.80
TMP117_logger_1	3944	2025-12-02T19:35:00	28.20	29.40
TMP117_logger_1	3944	2025-12-02T19:40:00	27.95	29.09
TMP117_logger_1	3944	2025-12-02T19:45:00	27.59	28.69
TMP117_logger_1	3944	2025-12-02T19:50:00	27.34	28.36
TMP117_logger_1	3944	2025-12-02T19:55:00	27.03	28.01
TMP117_logger_1	3944	2025-12-02T20:00:00	26.80	27.73
TMP117_logger_1	3944	2025-12-02T20:05:00	26.52	27.42
TMP117_logger_1	3944	2025-12-02T20:10:00	26.30	27.14
TMP117_logger_1	3944	2025-12-02T20:15:00	26.07	26.88
TMP117_logger_1	3944	2025-12-02T20:20:00	25.84	26.63
TMP117_logger_1	3944	2025-12-02T20:25:00	25.67	26.38
TMP117_logger_1	3944	2025-12-02T20:30:00	25.46	26.17
TMP117_logger_1	3944	2025-12-02T20:35:00	25.33	25.99
TMP117_logger_1	3944	2025-12-02T20:40:00	25.16	25.80
TMP117_logger_1	3944	2025-12-02T20:45:00	25.02	25.64
TMP117_logger_1	3944	2025-12-02T20:50:00	24.92	25.49
TMP117_logger_1	3944	2025-12-02T20:55:00	25.02	25.70
TMP117_logger_1	3944	2025-12-02T21:00:00	26.21	27.16
TMP117_logger_1	3944	2025-12-02T21:05:00	26.73	27.73
TMP117_logger_1	3944	2025-12-02T21:10:00	26.70	27.68
TMP117_logger_1	3944	2025-12-02T21:15:00	26.48	27.43
TMP117_logger_1	3944	2025-12-02T21:20:00	26.32	27.19
TMP117_logger_1	3944	2025-12-02T21:25:00	26.02	26.84
TMP117_logger_1	3944	2025-12-02T21:30:00	25.79	26.57
TMP117_logger_1	3944	2025-12-02T21:35:00	25.53	26.28
TMP117_logger_1	3944	2025-12-02T21:40:00	25.34	26.03
TMP117_logger_1	3944	2025-12-02T21:45:00	25.16	25.81
TMP117_logger_1	3944	2025-12-02T21:50:00	24.94	25.57
TMP117_logger_1	3944	2025-12-02T21:55:00	24.77	25.36
TMP117_logger_1	3944	2025-12-02T22:00:00	24.57	25.13
TMP117_logger_1	3944	2025-12-02T22:05:00	24.37	24.91
TMP117_logger_1	3944	2025-12-02T22:10:00	24.24	24.76
TMP117_logger_1	3944	2025-12-02T22:15:00	24.04	24.54
TMP117_logger_1	3944	2025-12-02T22:20:00	23.98	24.43
TMP117_logger_1	3944	2025-12-02T22:25:00	23.81	24.25
TMP117_logger_1	3944	2025-12-02T22:30:00	23.69	24.11
TMP117_logger_1	3944	2025-12-02T22:35:00	23.52	23.94
TMP117_logger_1	3944	2025-12-02T22:40:00	23.42	23.81
TMP117_logger_1	3944	2025-12-02T22:45:00	23.34	23.70
TMP117_logger_1	3944	2025-12-02T22:50:00	23.21	23.56
TMP117_logger_1	3944	2025-12-02T22:55:00	23.09	23.42
TMP117_logger_1	3944	2025-12-02T23:00:00	23.00	23.31
TMP117_logger_1	3944	2025-12-02T23:05:00	22.91	23.21
TMP117_logger_1	3944	2025-12-02T23:10:00	22.80	23.11
TMP117_logger_1	3944	2025-12-02T23:15:00	22.79	23.05
TMP117_logger_1	3944	2025-12-02T23:20:00	22.75	22.99
TMP117_logger_1	3944	2025-12-02T23:25:00	22.58	22.84
TMP117_logger_1	3944	2025-12-02T23:30:00	22.63	22.84
TMP117_logger_1	3944	2025-12-02T23:35:00	22.56	22.78
TMP117_logger_1	3944	2025-12-02T23:40:00	22.49	22.70
TMP117_logger_1	3944	2025-12-02T23:45:00	22.41	22.60
TMP117_logger_1	3944	2025-12-02T23:50:00	22.33	22.52
TMP117_logger_1	3944	2025-12-02T23:55:00	22.26	22.44
TMP117_logger_1	3944	2025-12-03T00:00:00	22.17	22.34
TMP117_logger_1	3944	2025-12-03T00:05:00	22.13	22.30
TMP117_logger_1	3944	2025-12-03T00:10:00	22.06	22.23
TMP117_logger_1	3944	2025-12-03T00:15:00	21.97	22.14
TMP117_logger_1	3944	2025-12-03T00:20:00	21.92	22.08
TMP117_logger_1	3944	2025-12-03T00:25:00	21.89	22.03
TMP117_logger_1	3944	2025-12-03T00:30:00	21.84	21.98
TMP117_logger_1	3944	2025-12-03T00:35:00	21.76	21.90
TMP117_logger_1	3944	2025-12-03T00:40:00	21.73	21.87
TMP117_logger_1	3944	2025-12-03T00:45:00	21.67	21.80
TMP117_logger_1	3944	2025-12-03T00:50:00	21.61	21.75
TMP117_logger_1	3944	2025-12-03T00:55:00	21.58	21.71
TMP117_logger_1	3944	2025-12-03T01:00:00	21.55	21.67
TMP117_logger_1	3944	2025-12-03T01:05:00	21.49	21.62
TMP117_logger_1	3944	2025-12-03T01:10:00	21.43	21.55
TMP117_logger_1	3944	2025-12-03T01:15:00	21.39	21.52
TMP117_logger_1	3944	2025-12-03T01:20:00	21.36	21.48
TMP117_logger_1	3944	2025-12-03T01:25:00	21.32	21.44
TMP117_logger_1	3944	2025-12-03T01:30:00	21.27	21.39
TMP117_logger_1	3944	2025-12-03T01:35:00	21.25	21.37
TMP117_logger_1	3944	2025-12-03T01:40:00	21.21	21.32
TMP117_logger_1	3944	2025-12-03T01:45:00	21.19	21.30
TMP117_logger_1	3944	2025-12-03T01:50:00	21.13	21.25
TMP117_logger_1	3944	2025-12-03T01:55:00	21.12	21.23
TMP117_logger_1	3944	2025-12-03T02:00:00	21.09	21.20
TMP117_logger_1	3944	2025-12-03T02:05:00	21.07	21.17
TMP117_logger_1	3944	2025-12-03T02:10:00	21.04	21.14
TMP117_logger_1	3944	2025-12-03T02:15:00	21.01	21.11
TMP117_logger_1	3944	2025-12-03T02:20:00	20.96	21.07
TMP117_logger_1	3944	2025-12-03T02:25:00	20.95	21.05
TMP117_logger_1	3944	2025-12-03T02:30:00	20.94	21.03
TMP117_logger_1	3944	2025-12-03T02:35:00	20.89	20.99
TMP117_logger_1	3944	2025-12-03T02:40:00	20.89	20.98
TMP117_logger_1	3944	2025-12-03T02:45:00	20.84	20.95
TMP117_logger_1	3944	2025-12-03T02:50:00	20.84	20.92
TMP117_logger_1	3944	2025-12-03T02:55:00	20.80	20.88
TMP117_logger_1	3944	2025-12-03T03:00:00	20.76	20.86
TMP117_logger_1	3944	2025-12-03T03:05:00	20.74	20.84
TMP117_logger_1	3944	2025-12-03T03:10:00	20.71	20.80
TMP117_logger_1	3944	2025-12-03T03:15:00	20.66	20.77
TMP117_logger_1	3944	2025-12-03T03:20:00	20.63	20.73
TMP117_logger_1	3944	2025-12-03T03:25:00	20.64	20.73
TMP117_logger_1	3944	2025-12-03T03:30:00	20.59	20.68
TMP117_logger_1	3944	2025-12-03T03:35:00	20.55	20.64
TMP117_logger_1	3944	2025-12-03T03:40:00	20.53	20.63
TMP117_logger_1	3944	2025-12-03T03:45:00	20.49	20.59
TMP117_logger_1	3944	2025-12-03T03:50:00	20.51	20.59
TMP117_logger_1	3944	2025-12-03T03:55:00	20.46	20.55
TMP117_logger_1	3944	2025-12-03T04:00:00	20.43	20.52
TMP117_logger_1	3944	2025-12-03T04:05:00	20.41	20.50
TMP117_logger_1	3944	2025-12-03T04:10:00	20.39	20.48
TMP117_logger_1	3944	2025-12-03T04:15:00	20.38	20.46
TMP117_logger_1	3944	2025-12-03T04:20:00	20.37	20.45
TMP117_logger_1	3944	2025-12-03T04:25:00	20.33	20.42
TMP117_logger_1	3944	2025-12-03T04:30:00	20.32	20.41
TMP117_logger_1	3944	2025-12-03T04:35:00	20.28	20.38
TMP117_logger_1	3944	2025-12-03T04:40:00	20.28	20.37
TMP117_logger_1	3944	2025-12-03T04:45:00	20.24	20.34
TMP117_logger_1	3944	2025-12-03T04:50:00	20.24	20.33
TMP117_logger_1	3944	2025-12-03T04:55:00	20.23	20.32
TMP117_logger_1	3944	2025-12-03T05:00:00	20.21	20.30
TMP117_logger_1	3944	2025-12-03T05:05:00	25.74	27.02
TMP117_logger_1	3944	2025-12-03T05:10:00	29.38	31.09
TMP117_logger_1	3944	2025-12-03T05:15:00	31.31	33.21
TMP117_logger_1	3944	2025-12-03T05:20:00	32.06	33.96
TMP117_logger_1	3944	2025-12-03T05:25:00	32.05	34.02
TMP117_logger_1	3944	2025-12-03T05:30:00	31.95	33.74
TMP117_logger_1	3944	2025-12-03T05:35:00	31.49	33.22
TMP117_logger_1	3944	2025-12-03T05:40:00	30.90	32.57
TMP117_logger_1	3944	2025-12-03T05:45:00	30.46	31.99
TMP117_logger_1	3944	2025-12-03T05:50:00	29.95	31.40
TMP117_logger_1	3944	2025-12-03T05:55:00	29.40	30.81
TMP117_logger_1	3944	2025-12-03T06:00:00	28.84	30.22
TMP117_logger_1	3944	2025-12-03T06:05:00	28.41	29.68
TMP117_logger_1	3944	2025-12-03T06:10:00	28.05	29.23
TMP117_logger_1	3944	2025-12-03T06:15:00	27.64	28.75
TMP117_logger_1	3944	2025-12-03T06:20:00	27.27	28.32
TMP117_logger_1	3944	2025-12-03T06:25:00	26.92	27.91
TMP117_logger_1	3944	2025-12-03T06:30:00	26.52	27.49
TMP117_logger_1	3944	2025-12-03T06:35:00	26.28	27.16
TMP117_logger_1	3944	2025-12-03T06:40:00	25.95	26.79
TMP117_logger_1	3944	2025-12-03T06:45:00	25.69	26.48
TMP117_logger_1	3944	2025-12-03T06:50:00	25.41	26.18
TMP117_logger_1	3944	2025-12-03T06:55:00	25.16	25.88
TMP117_logger_1	3944	2025-12-03T07:00:00	24.91	25.61
TMP117_logger_1	3944	2025-12-03T07:05:00	24.77	25.40
TMP117_logger_1	3944	2025-12-03T07:10:00	24.55	25.16
TMP117_logger_1	3944	2025-12-03T07:15:00	24.29	24.88
TMP117_logger_1	3944	2025-12-03T07:20:00	20.53	21.53
TMP117_logger_1	3944	2025-12-03T07:25:00	23.17	23.73
TMP117_logger_1	3944	2025-12-03T07:30:00	23.50	24.02
TMP117_logger_1	3944	2025-12-03T07:35:00	28.34	30.24
TMP117_logger_1	3944	2025-12-03T07:40:00	31.90	34.13
TMP117_logger_1	3944	2025-12-03T07:45:00	32.75	34.83
TMP117_logger_1	3944	2025-12-03T07:50:00	32.92	34.88
TMP117_logger_1	3944	2025-12-03T07:55:00	32.60	34.42
TMP117_logger_1	3944	2025-12-03T08:00:00	32.00	33.73
TMP117_logger_1	3944	2025-12-03T08:05:00	31.37	33.02
TMP117_logger_1	3944	2025-12-03T08:10:00	30.59	32.17
TMP117_logger_1	3944	2025-12-03T08:15:00	30.12	31.55
